Time,Tips,Hum%,TempC,voltMeasure(V),readVcc(mV),Event
2015-04-30T20:04:05,0,39.00,21.00,4.79,4850,Normal
2015-04-30T20:05:05,0,39.00,21.00,4.91,4850,Normal
2015-04-30T20:06:05,0,39.00,21.00,4.81,4850,Normal
2015-04-30T20:07:04,0,39.00,22.00,4.82,4850,Normal
2015-04-30T20:08:04,0,40.00,22.00,4.86,4850,Normal
2015-04-30T20:09:04,0,40.00,21.00,4.80,4850,Normal
2015-04-30T20:10:03,0,39.00,22.00,4.82,4850,Normal
2015-04-30T20:11:03,0,39.00,22.00,4.74,4850,Normal
2015-04-30T20:12:03,0,39.00,22.00,4.78,4850,Normal
2015-04-30T20:13:02,0,39.00,21.00,4.81,4850,Normal
2015-04-30T20:14:02,0,40.00,21.00,4.85,4850,Normal
2015-04-30T20:15:01,0,39.00,21.00,4.75,4850,Normal
2015-04-30T20:16:01,0,39.00,21.00,4.80,4850,Normal
2015-04-30T20:17:01,0,39.00,21.00,4.78,4850,Normal
2015-04-30T20:18:00,0,39.00,21.00,4.83,4829,Normal
2015-04-30T20:19:00,0,39.00,21.00,4.85,4850,Normal
2015-04-30T20:20:00,0,40.00,21.00,4.75,4850,Normal
2015-04-30T20:21:08,0,39.00,21.00,4.78,4850,Normal
2015-04-30T20:22:07,0,39.00,21.00,4.78,4829,Normal
2015-04-30T20:23:07,0,39.00,21.00,4.85,4850,Normal
2015-04-30T20:24:07,0,40.00,21.00,4.82,4850,Normal
2015-04-30T20:25:06,0,39.00,21.00,4.82,4850,Normal
2015-04-30T20:26:06,0,40.00,21.00,4.76,4850,Normal
2015-04-30T20:27:05,0,39.00,21.00,4.80,4850,Normal
2015-04-30T20:28:05,0,40.00,21.00,4.79,4850,Normal
2015-04-30T20:29:05,0,40.00,21.00,4.81,4850,Normal
2015-04-30T20:30:04,0,40.00,21.00,4.79,4850,Normal
2015-04-30T20:31:04,0,39.00,21.00,4.81,4850,Normal
2015-04-30T20:32:04,0,39.00,21.00,4.76,4850,Normal
2015-04-30T20:33:03,0,39.00,21.00,4.82,4850,Normal
2015-04-30T20:34:03,0,40.00,21.00,4.87,4850,Normal
2015-04-30T20:35:03,0,40.00,21.00,4.79,4850,Normal
2015-04-30T20:36:02,0,40.00,21.00,4.85,4850,Normal
2015-04-30T20:37:02,0,40.00,21.00,4.77,4850,Normal
2015-04-30T20:38:01,0,39.00,21.00,4.79,4850,Normal
2015-04-30T20:39:01,0,40.00,21.00,4.82,4850,Normal
2015-04-30T20:40:01,0,40.00,21.00,4.79,4850,Normal
2015-04-30T20:41:00,0,40.00,21.00,4.72,4850,Normal
2015-04-30T20:42:00,0,40.00,21.00,4.82,4850,Normal
2015-04-30T20:43:00,0,40.00,21.00,4.88,4850,Normal
2015-04-30T20:44:08,0,40.00,21.00,4.69,4850,Normal
2015-04-30T20:45:07,0,40.00,21.00,4.82,4829,Normal
2015-04-30T20:46:07,0,40.00,21.00,4.84,4850,Normal
2015-04-30T20:47:07,0,40.00,21.00,4.82,4850,Normal
2015-04-30T20:48:06,0,40.00,21.00,4.81,4850,Normal
2015-04-30T20:49:06,0,40.00,21.00,4.75,4850,Normal
2015-04-30T20:50:05,0,40.00,21.00,4.82,4850,Normal
2015-04-30T20:51:05,0,40.00,21.00,4.81,4850,Normal
2015-04-30T20:52:05,0,40.00,21.00,4.78,4850,Normal
2015-04-30T20:53:04,0,40.00,21.00,4.80,4850,Normal
2015-04-30T20:54:04,0,40.00,22.00,4.79,4850,Normal
2015-04-30T20:55:04,0,40.00,22.00,4.87,4850,Normal
2015-04-30T20:56:03,0,40.00,22.00,4.78,4850,Normal
2015-04-30T20:57:03,0,39.00,22.00,4.81,4850,Normal
2015-04-30T20:58:02,0,39.00,22.00,4.81,4850,Normal
2015-04-30T20:59:02,0,39.00,22.00,4.76,4850,Normal
2015-04-30T21:00:02,0,39.00,22.00,4.86,4850,Normal
2015-04-30T21:00:02,0,39.00,22.00,4.79,4850,Daily backup
2015-04-30T21:04:17,0,39.00,21.00,4.81,4850,Normal
2015-04-30T21:05:00,0,40.00,22.00,4.88,4850,Normal
2015-04-30T21:06:00,0,39.00,22.00,4.77,4850,Normal
2015-04-30T21:07:08,0,40.00,22.00,4.87,4850,Normal
2015-04-30T21:08:08,0,39.00,21.00,4.84,4850,Normal
2015-04-30T21:09:07,0,39.00,21.00,4.81,4850,Normal
2015-04-30T21:10:07,0,39.00,21.00,4.82,4850,Normal
2015-04-30T21:11:07,0,40.00,21.00,4.82,4850,Normal
2015-04-30T21:12:06,0,40.00,21.00,4.85,4850,Normal
2015-04-30T21:13:06,0,39.00,22.00,4.80,4850,Normal
